,university 1,university 2,cosine distance,jaccard distance
0, EUR , EUR ,0.0,0.0
1, Leiden University , EUR ,0.7169442941426932,0.8549382716049383
2, WUR , EUR ,0.8456216180130692,0.9490909090909091
3, rug , EUR ,0.7388455595087939,0.8655569782330346
4, Maastricht University , EUR ,0.7872235496647395,0.891044776119403
5, Vrije Universiteit Amsterdam , EUR ,0.6708641837056628,0.8031496062992126
6, TU Eindhoven , EUR ,0.8890912963073299,0.9736346516007532
7, University of Twente , EUR ,0.6767294391611656,0.8133333333333334
8, Tilburg University , EUR ,0.6994699279732797,0.8317073170731707
9, Open University , EUR ,0.8130765695292816,0.9203389830508475
10, HAN , EUR ,0.8752434276896389,0.9632352941176471
11,ZUYD, EUR ,0.7938679660342159,0.8851422550052687
12,AUAS , EUR ,0.7422757310065419,0.8552456839309429
13, international HU , EUR ,0.8149155359405117,0.9014647137150467
14,tinbergen, EUR ,0.8703491669081884,0.9426751592356688
15,artez, EUR ,0.810808549095663,0.900976290097629
16,Viaa, EUR ,0.9091717251275107,0.964824120603015
17,marnix, EUR ,0.79636512687782,0.8890322580645161
18,hku, EUR ,0.8311513596122793,0.9097839898348158
19, Amsterdam University College, EUR ,0.7542035757366232,0.8782051282051282
20,avans, EUR ,0.7453112407773215,0.8618827160493827
21, UVH , EUR ,0.7091627640068509,0.8505250154416306
22,vlhuas , EUR ,0.9049543208129783,0.9580745341614907
23,Windesheim, EUR ,0.8502309705308079,0.9328
24,AHK , EUR ,0.7659748774042439,0.8675799086757991
25, TIAS , EUR ,0.7824601457672197,0.8836307214895267
26,BUAS , EUR ,0.8153283380255418,0.8992718446601942
27,TU Delft, EUR ,0.923088046946834,0.9738219895287958
28, HZ , EUR ,0.7932907131494282,0.8848547717842323
29, tio , EUR ,0.845180062926129,0.9230769230769231
30, hogeschool Leiden , EUR ,0.9114169767372092,0.9793621013133208
31, rotterdam uas , EUR ,0.7687782649070237,0.870754716981132
32,Fontys, EUR ,0.8179750444408405,0.9039242219215156
